id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month,crime,year
4558227,23630382,within a few hours,71%,t,1.0,"Los Angeles, CA, United States",Hollywood,Hollywood,City of Los Angeles,Los Angeles,CA,90038,Los Angeles,"Los Angeles, CA",US,United States,34.08533,-118.33205,Apartment,Private room,2,1.0,1.0,1.0,,54.0,,,$100.00,,1,$10.00,30,30,today,0,0,0,0,224,97.0,10.0,9.0,10.0,10.0,3.8,47879.0,2019.0
31619905,204381913,,,f,1.0,"West Hollywood, CA, United States",West Hollywood,West Hollywood,Other Cities,West Hollywood,CA,90046,Los Angeles,"West Hollywood, CA",US,United States,34.093540000000004,-118.35963999999998,Apartment,Private room,2,1.0,1.0,1.0,,70.0,,,,$8.00,1,$8.00,1,1125,5 months ago,0,0,0,0,26,95.0,10.0,9.0,10.0,10.0,2.4,27938.0,2019.0
8538197,14727082,within a few hours,100%,f,12.0,"Los Angeles, CA, United States",Hollywood,Hollywood,City of Los Angeles,Los Angeles,CA,90028,Los Angeles,"Los Angeles, CA",US,United States,34.09967,-118.31732,Townhouse,Entire home/apt,10,2.0,3.0,8.0,,169.0,$995.00,"$3,395.00",$250.00,$150.00,6,$35.00,30,1125,a week ago,0,0,4,279,76,84.0,9.0,9.0,9.0,10.0,1.64,47879.0,2019.0
10811560,55970655,within an hour,100%,t,3.0,"Los Angeles, CA, United States",Tarzana,Tarzana,City of Los Angeles,Los Angeles,CA,91335,Los Angeles,"Los Angeles, CA",US,United States,34.18164,-118.53305,House,Private room,2,2.0,2.0,1.0,,55.0,,,,$60.00,2,$0.00,2,1125,4 days ago,5,35,65,155,118,95.0,10.0,9.0,10.0,10.0,2.51,47879.0,2019.0
14550298,90053222,within a few hours,100%,f,1.0,"Los Angeles, CA, United States",Westlake,Westlake,City of Los Angeles,Los Angeles,CA,90026,Los Angeles,"Los Angeles, CA",US,United States,34.06159,-118.26213999999999,Apartment,Private room,2,1.0,1.0,1.0,,46.0,,,$0.00,$15.00,1,$20.00,3,40,5 months ago,0,0,0,0,20,96.0,10.0,9.0,10.0,9.0,0.5,47879.0,2019.0
37719312,4993671,within an hour,100%,f,2.0,"Los Angeles, CA, United States",Hollywood,East Hollywood,City of Los Angeles,Los Angeles,CA,90029,Los Angeles,"Los Angeles, CA",US,United States,34.09554,-118.30107,House,Entire home/apt,4,1.0,2.0,2.0,,200.0,,,$100.00,$100.00,1,$0.00,3,14,4 weeks ago,4,4,18,23,4,100.0,10.0,10.0,10.0,10.0,1.76,47879.0,2019.0
19859028,9874283,within an hour,100%,f,1.0,"Long Beach, CA, United States",Long Beach,Long Beach,Other Cities,Long Beach,CA,90802,Los Angeles,"Long Beach, CA",US,United States,33.77015,-118.19487,Condominium,Entire home/apt,6,1.0,2.0,3.0,,157.0,,,$0.00,$150.00,6,$25.00,3,1125,2 weeks ago,12,42,72,72,13,100.0,10.0,10.0,10.0,10.0,0.46,148.0,2019.0
37770751,221455596,within an hour,98%,f,6.0,"Los Angeles, CA, United States",Hollywood Hills,Hollywood Hills,City of Los Angeles,Los Angeles,CA,90028,Los Angeles,"Los Angeles, CA",US,United States,34.1058,-118.31926999999999,Loft,Entire home/apt,3,1.0,0.0,2.0,,100.0,,,$100.00,$80.00,1,$0.00,1,1125,4 days ago,0,0,0,0,2,90.0,10.0,10.0,8.0,9.0,0.54,47879.0,2019.0
15589787,91181923,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Venice,Venice,City of Los Angeles,Los Angeles,CA,90291,Los Angeles,"Los Angeles, CA",US,United States,34.002320000000005,-118.47022,House,Entire home/apt,6,2.0,2.0,4.0,,175.0,,,,$120.00,1,$0.00,31,35,2 months ago,10,33,58,330,26,99.0,10.0,10.0,10.0,10.0,0.74,47879.0,2019.0
23049167,29239405,within an hour,100%,f,1.0,"Inglewood, CA, United States",Inglewood,Inglewood,Other Cities,Inglewood,CA,90302,Los Angeles,"Inglewood, CA",US,United States,33.97551,-118.36733999999998,Apartment,Private room,3,1.0,1.0,2.0,,75.0,,,,$50.00,3,$15.00,1,1125,yesterday,12,42,72,162,47,91.0,9.0,9.0,10.0,9.0,2.13,7980.0,2019.0
35345111,266096607,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Mid-Wilshire,Larchmont,City of Los Angeles,Los Angeles,CA,90004,Los Angeles,"Los Angeles, CA",US,United States,34.076370000000004,-118.31335,Guesthouse,Entire home/apt,2,1.0,0.0,1.0,,120.0,,,"$1,000.00",$60.00,2,$20.00,2,30,a week ago,18,32,59,116,19,100.0,10.0,10.0,10.0,10.0,3.24,47879.0,2019.0
