id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month,crime,year,# point of interest
17157943,98851773,within an hour,100%,t,1.0,"Los Angeles, CA, United States",Westwood,Westwood,City of Los Angeles,Los Angeles,CA,90024.0,Los Angeles,"Los Angeles, CA",US,United States,34.05801,-118.4301,House,Entire home/apt,8,2.0,3.0,6.0,,298.0,,,$800.00,$189.00,4,$15.00,2,365,3 weeks ago,0,0,0,0,63,99.0,10.0,10.0,10.0,10.0,1.91,47879.0,2019.0,20.0
33833994,255455031,,,f,1.0,"Santa Monica, CA, United States",Santa Monica,Santa Monica,Other Cities,Santa Monica,CA,90405.0,Los Angeles,"Santa Monica, CA",US,United States,34.01294,-118.46276,Bungalow,Private room,1,1.0,1.0,1.0,,90.0,,,$0.00,$75.00,1,$20.00,21,1125,6 months ago,29,59,89,179,3,100.0,10.0,10.0,10.0,10.0,0.42,7166.0,2019.0,
30369890,46388132,within an hour,100%,t,12.0,"Inglewood, CA, United States",South LA,Inglewood,Other Cities,Inglewood,CA,90305.0,Los Angeles,"Inglewood, CA",US,United States,33.94807,-118.3259,Apartment,Entire home/apt,8,1.0,2.0,3.0,,130.0,,,$300.00,$45.00,4,$20.00,1,29,2 weeks ago,16,46,76,347,36,93.0,10.0,9.0,10.0,9.0,2.9,7980.0,2019.0,
15302766,1398682,within a few hours,100%,f,2.0,"Santa Monica, CA, United States",Santa Monica,Santa Monica,Other Cities,Santa Monica,CA,90403.0,Los Angeles,"Santa Monica, CA",US,United States,34.03318,-118.48772,Townhouse,Entire home/apt,6,2.5,4.0,4.0,,325.0,,,"$1,000.00",$0.00,1,$0.00,30,750,6 weeks ago,2,2,2,190,9,93.0,9.0,8.0,10.0,10.0,0.31,7166.0,2019.0,20.0
20589350,147106089,within an hour,100%,f,16.0,"Los Angeles, CA, United States",Silver Lake,Silver Lake,City of Los Angeles,Los Angeles,CA,90026.0,Los Angeles,"Los Angeles, CA",US,United States,34.09056,-118.26874,Apartment,Entire home/apt,4,1.0,1.0,1.0,,112.0,,,$300.00,$69.00,2,$20.00,30,1125,3 weeks ago,28,28,28,28,50,90.0,10.0,9.0,10.0,10.0,1.81,47879.0,2019.0,
30391803,75238387,within an hour,100%,f,1.0,"Los Angeles, CA, United States",North Hollywood,Sun Valley,City of Los Angeles,Los Angeles,CA,91605.0,Los Angeles,"Los Angeles, CA",US,United States,34.21337,-118.39552,Apartment,Entire home/apt,2,1.0,1.0,1.0,,50.0,,,$0.00,$10.00,1,$100.00,30,1125,4 weeks ago,30,60,89,89,2,100.0,10.0,8.0,10.0,8.0,0.18,47879.0,2019.0,
23965602,12054430,within an hour,100%,f,1.0,"Los Angeles, CA, United States",Westlake,Westlake,City of Los Angeles,Los Angeles,CA,90017.0,Los Angeles,"Los Angeles, CA",US,United States,34.05957,-118.26416,Apartment,Entire home/apt,4,1.0,0.0,2.0,,90.0,,,$150.00,$50.00,2,$7.00,30,1125,2 weeks ago,0,0,0,0,88,90.0,9.0,9.0,9.0,8.0,4.43,47879.0,2019.0,
6053855,4930421,within a few hours,100%,t,3.0,"West Hollywood, CA, United States",West Hollywood,West Hollywood,Other Cities,West Hollywood,CA,90046.0,Los Angeles,"West Hollywood, CA",US,United States,34.0933,-118.35975,Apartment,Private room,1,1.0,1.0,1.0,,95.0,$657.00,"$1,995.00",$300.00,$40.00,1,$20.00,1,1125,1 week ago,0,0,4,279,17,94.0,10.0,9.0,10.0,10.0,0.31,27938.0,2019.0,
590936,2915924,within a day,100%,t,3.0,"Los Angeles, CA, United States",Lincoln Heights,Lincoln Heights,City of Los Angeles,Los Angeles,CA,90031.0,Los Angeles,"Los Angeles, CA",US,United States,34.075759999999995,-118.22392,Loft,Entire home/apt,2,1.0,1.0,1.0,,85.0,$500.00,"$1,750.00",,$95.00,1,$0.00,1,180,a week ago,3,3,3,3,43,97.0,10.0,9.0,10.0,9.0,0.69,47879.0,2019.0,
26124760,7552589,within an hour,100%,t,28.0,"Los Angeles, CA, United States",South Robertson,Palms,City of Los Angeles,Los Angeles,CA,90034.0,Los Angeles,"Los Angeles, CA",US,United States,34.03259,-118.39326,Apartment,Entire home/apt,2,1.5,1.0,1.0,,120.0,,,"$1,000.00",$100.00,1,$0.00,31,1125,3 weeks ago,0,3,33,123,4,100.0,10.0,10.0,10.0,10.0,0.31,47879.0,2019.0,
